emo_id,user_comments
77,少年 是 有 加油 @ 中国 # 青春 人 青年 好 时代 精神 能 颜值 强则 像 没有 真的 ][ 中华 国强 初心 要 在 可以 好帅 会 为 强 帅 王德民 传承 [加 [ 吴彦祖 祖国 吾辈 岁月 民族 忘 奋斗 让 年轻 大 变 油] 国家 负 加油]
78,哈哈 看 是 人 好 花絮 喜欢 真的 有 呜呜 刷 想 哭 要 德善 时候 笑 遍 剧 会 @ 视频 能 正峰 去 狗焕 爱 可以 上 看到 宝拉 来 欧巴 眼泪 可爱 哈哈哈 到 说 请 给 为 都会 哈哈哈哈哈 温暖 换 好看 怕 哈哈哈哈 在 珍珠
79,@ 是 了 爸爸 消防员 宝宝 英雄 澳大利亚 健康 希望 去 要 致敬 会 孩子 人 政府 有 看 真的 吃 好 想 愿 能 多 快乐 没有 your 小 平安 让 🙏🙏 长大 中国 _ 可爱 # 应该 火灾 - 奶嘴 国家 消防 山火 is 成长 大火 隔离带 总理
80,了 是 人 打 女孩 视频 会 有 @ 能 社会 看 让 要 好 打人 想 可以 在 还有 笑 应该 还手 没有 多 还 气死 # 上 起来 像 成年 回去 打的 去 知道 法律 真的 出来 瓶子 说 拍 给 孩子 希望 教育 酒 殴打 时候 女
81,@ 了 哈哈 # 是 鹿晗 真的 沙雕 唱 唱歌 [ 超话 ] 好听 听 好 _ 有 来 喜欢 哥哥 人 - 翻唱 歌 看 要 可以 可爱 爱 明星 飞轮海 吧 哈哈哈哈哈 说 大赏 在 音饭 想 哈哈哈 会 评论 尴尬 绝 超 小 年度 到 哈哈哈哈 真
82,"哈哈 是 了 有 沙雕 知道 看 会 蔡徐坤 喜欢 王一博 来 徐坤 笑死 爱 人 周震南 能 如 想 可以 要 好 视频 周震 蔡徐 到 小 坤 偶像 肖战 没有 真的 @ 温柔 在 做 看到 李易峰 钱 , 王源 愿 看见 笑到 白敬亭 给 可爱 还有 上"
83,了 健身 是 锻炼 假装 去 运动 人 算 有 想 健身房 办 要 时间 小时 说 看 上 在 多 让 真的 坚持 躺 健身卡 投票 上班 跑 跑步 那 还有 没有 做 哈哈 练 买 会 身体 到 起来 发现 知道 能 @ 时候 走 懒得 keep 工作
84,是 走好 奶奶 能 女性 🙏🙏 人民 上 中国 有 妇女 人民币 顶半 在 要 梁奶奶 真的 拖拉机 劳动 边 历史 看 看到 老人家 社会 # 成为 梁军 抗争 人 🙏 走 说 照片 致敬 天 病痛 拖拉机手 女权 开 女主 钱 国家 精神 承认 愿 🇨🇳 去世 多 会
85,美国 伊朗 是 和平 了 世界 人 有 战争 要 希望 会 愿 打 能 上 祖国 国家 没有 特朗普 好 在 说 无辜 想 让 强大 伊拉克 感谢 真的 中国 人民 支持 美军 谁 看 为 去 来 干 起来 导弹 中东 客机 还 … 基地 大 伤亡 .
86,了 口罩 是 有 能 钱 人 买 会 呼吸阀 到 @ 戴 吧 可以 还给 说 老人 大爷 多 要 让 没有 带 上 用 希望 还 一辈子 疫情 个 吸阀 真的 捐 想 # 武汉 没 知道 应该 普通 国家 去 买到 明星 带呼 . 容易 老人家 老百姓
87,是 热搜 以为 @ 上 新 会 能 劈腿 小 幸福 … 舞蹈 看成 踢 热评 来 坐在 带 屁股 评论 难度 配图 赞 收藏 钱 玩 没有 起来 逗 可能 好疼 头部 Nikki 笑死 挑战 换腿 视频 站 易易 前.. 踢腿 酷酷 学到 动作 题 下 简单 ??? 哈哈哈哈哈
